"jobs",,,,,
,,,,,
,"image","locality","compensation","status","category"
"accounting+finance","heading","heading","posting","posting",
"admin / office","heading","heading","posting","posting",
"arch / engineering","heading","heading","posting","posting",
"art / media / design","heading","heading","posting","posting",
"biotech / science","heading","heading","posting","posting",
"business / mgmt","heading","heading","posting","posting",
"customer service","heading","heading","posting","posting",
"education","heading","heading","posting","posting",
"food / bev / hosp","heading","heading","posting","posting",
"general labor","heading","heading","posting","posting",
"government","heading","heading","posting","posting",
"human resources","heading","heading","posting","posting",
"internet engineers","heading","heading","posting","posting",
"legal / paralegal","heading","heading","posting","posting",
"manufacturing","heading","heading","posting","posting",
"marketing / pr / ad","heading","heading","posting","posting",
"medical / health","heading","heading","posting","posting",
"nonprofit sector","heading","heading","posting","posting",
"real estate","heading","heading","posting","posting",
"retail / wholesale","heading","heading","posting","posting",
"sales / biz dev","heading","heading","posting","posting",
"salon / spa / fitness","heading","heading","posting","posting",
"security","heading","heading","posting","posting",
"skilled trade / craft","heading","heading","posting","posting",
"software / qa / dba","heading","heading","posting","posting",
"systems / network","heading","heading","posting","posting",
"technical support","heading","heading","posting","posting",
"transport","heading","heading","posting","posting",
"tv / film / video","heading","heading","posting","posting",
"web / info design","heading","heading","posting","posting",
"writing / editing","heading","heading","posting","posting",
"[ETC]","heading","heading","posting","posting",
"[ part-time ]","heading","heading","posting","posting","heading"
